type,uuid,fullName,pureName,author,fullTitleCache,RANK,taxon,treeIndex
Taxon,fd9d6c29-2bc6-44ba-ae07-b5c578bfae72,Selenicereus (A.Berger) Britton & Rose,Selenicereus,(A.Berger) Britton & Rose,Selenicereus (A.Berger) Britton & Rose in Contr. U.S. Natl. Herb. 12: 429. 1909,Genus,Selenicereus (A.Berger) Britton & Rose sec. Korotkova & al. 2017,#t42#33819#33820#33837#33839#1178#
Taxon,5394b2cc-959d-4674-bdaa-6aaebebf13d7,Setiechinopsis Backeb. ex de Haas,Setiechinopsis,Backeb. ex de Haas,Setiechinopsis Backeb. ex de Haas in Succulenta (Netherlands) 22: 9. 1940,Genus,Setiechinopsis Backeb. ex de Haas sec. Schlumpberger 2021,#t42#33819#33820#33837#33839#11181#
Taxon,878d1f2d-4251-425b-ae3a-f0b503b517d5,Soehrensia Backeb.,Soehrensia,Backeb.,Soehrensia Backeb. in Blätt. Kakteenf. 1938(6): 21. 1938,Genus,Soehrensia Backeb. sec. Hunt 2016,#t42#33819#33820#33837#33839#11158#
Taxon,2cea2605-c0b4-4f05-85ad-95928aced6ca,Stenocactus (K.Schum.) A.Berger,Stenocactus,(K.Schum.) A.Berger,"Stenocactus (K.Schum.) A.Berger, Kakteen: 244, 346. 1929",Genus,Stenocactus (K.Schum.) A.Berger sec. Hunt 2006,#t42#33819#33820#33837#33839#1181#
Taxon,89c5c3ae-5884-4d6a-b439-390cbb894b66,Stenocereus (A.Berger) Riccob.,Stenocereus,(A.Berger) Riccob.,"Stenocereus (A.Berger) Riccob. in Boll. Reale Orto Bot. Palermo 8: 253. 1909, nom. cons.",Genus,"Stenocereus (A.Berger) Riccob., nom. cons., sec. Hunt 2006",#t42#33819#33820#33837#33839#1179#
Taxon,d6bb200f-d51c-4425-910b-5c4f0fbd3ace,Stetsonia Britton & Rose,Stetsonia,Britton & Rose,"Stetsonia Britton & Rose, Cactaceae 2: 64. 1920",Genus,Stetsonia Britton & Rose sec. Hunt 2006,#t42#33819#33820#33837#33839#1113#
Taxon,50f15959-4151-4211-89d3-0684f2124cb7,Strombocactus Britton & Rose,Strombocactus,Britton & Rose,"Strombocactus Britton & Rose, Cactaceae 3: 106. 1922",Genus,Strombocactus Britton & Rose sec. Vázquez-Sánchez & al. 2013,#t42#33819#33820#33837#33839#324#
Taxon,576cd362-5563-4399-98a5-c55c39867184,Strophocactus Britton & Rose,Strophocactus,Britton & Rose,Strophocactus Britton & Rose in Contr. U.S. Natl. Herb. 16: 262. 1913,Genus,Strophocactus Britton & Rose sec. Korotkova & al. 2017,#t42#33819#33820#33837#33839#1703#
Taxon,4c659da0-ed31-433c-8b15-55883a919883,Tacinga Britton & Rose,Tacinga,Britton & Rose,"Tacinga Britton & Rose, Cactaceae 1: 39. 1919",Genus,Tacinga Britton & Rose sec. Hunt 2016,#t42#33819#33820#33837#33839#551#
Taxon,e393c773-5d60-4431-bf43-5c5ddac6423f,Tephrocactus Lem.,Tephrocactus,Lem.,"Tephrocactus Lem., Cactées: 88. 1868",Genus,Tephrocactus Lem. sec. Las Peñas & al. 2019,#t42#33819#33820#33837#33839#455#
Taxon,270df04b-3412-405d-901d-0c9653cae609,Thelocactus (K.Schum.) Britton & Rose,Thelocactus,(K.Schum.) Britton & Rose,Thelocactus (K.Schum.) Britton & Rose in Bull. Torrey Bot. Club 49: 251. 1922,Genus,Thelocactus (K.Schum.) Britton & Rose sec. Hunt 2016,#t42#33819#33820#33837#33839#1183#
Taxon,bd3cd933-225e-4c8e-94e1-59b8ea7e3659,Trichocereus (A.Berger) Riccob.,Trichocereus,(A.Berger) Riccob.,Trichocereus (A.Berger) Riccob. in Boll. Reale Orto Bot. Palermo 8: 236. 1909,Genus,Trichocereus (A.Berger) Riccob. sec. Hunt 2016,#t42#33819#33820#33837#33839#11111#
Taxon,ead1bfc7-ff0b-4e7b-9b60-b8af87315a05,Turbinicarpus (Backeb.) Buxb. & Backeb.,Turbinicarpus,(Backeb.) Buxb. & Backeb.,Turbinicarpus (Backeb.) Buxb. & Backeb. in Cactaceae (Berlin) 1937(1): 27. 1937,Genus,Turbinicarpus (Backeb.) Buxb. & Backeb. sec. Vázquez-Sánchez & al. 2019,#t42#33819#33820#33837#33839#633#
Taxon,a884d9cb-4949-4908-91f8-0d68e02a7ccd,Uebelmannia Buining,Uebelmannia,Buining,Uebelmannia Buining in Succulenta (Netherlands) 46: 159. 1967,Genus,Uebelmannia Buining sec. Taylor & Zappi 2004,#t42#33819#33820#33837#33839#259#
